T_ID,senders_account,receivers_account,amount,date,time
1,1078,1036,83.19,01/06/2023,11:20:13
2,1023,1048,22.87,08/09/2023,20:40:50
3,1039,1095,51.51,26/03/2023,15:10:37
4,1029,1094,51.24,03/02/2024,21:39:02
5,1025,1057,53.81,27/05/2023,05:00:47
6,1099,1046,59,27/10/2023,01:25:03
7,1001,1053,11.85,24/09/2023,09:37:13
8,1052,1015,30.39,20/12/2023,14:20:22
9,1083,1040,84.81,23/04/2023,19:27:03
10,1031,1030,22.56,12/03/2023,15:00:13
11,1064,1079,77.96,01/07/2023,23:23:18
12,1027,1077,90.86,03/02/2024,16:00:21
13,1030,1057,83.43,11/08/2023,06:07:48
14,1081,1085,97.59,11/10/2023,06:06:33
15,1089,1028,95.35,29/11/2023,19:52:09
16,1082,1003,41.32,30/04/2023,07:35:52
17,1030,1045,24.58,09/10/2023,18:24:47
18,1086,1041,48.04,02/07/2023,22:33:05
19,1040,1022,17.23,24/01/2024,19:32:39
20,1086,1056,36.88,19/03/2023,08:47:02
21,1040,1024,95.36,15/05/2023,15:33:59
22,1062,1069,41.6,31/01/2024,04:38:38
23,1059,1039,35.92,11/07/2023,20:30:35
24,1098,1026,12.21,03/04/2023,09:12:33
25,1082,1019,17.08,24/09/2023,12:48:55
26,1059,1028,84.46,18/11/2023,01:48:18
27,1039,1017,48.69,22/12/2023,20:15:16
28,1069,1062,21.44,08/05/2023,06:55:59
29,1057,1006,84.27,09/09/2023,05:07:35
30,1050,1030,91.43,16/04/2023,04:37:01
31,1085,1033,65.55,28/01/2024,09:50:54
32,1079,1100,53.67,16/06/2023,15:12:37
33,1075,1047,94.03,07/07/2023,18:10:18
34,1082,1035,81,13/02/2024,03:58:41
35,1098,1029,39.94,24/10/2023,18:35:24
36,1022,1027,30.13,08/06/2023,17:47:18
37,1056,1058,96.58,29/06/2023,08:50:32
38,1098,1097,98.74,14/11/2023,23:57:51
39,1067,1040,82.88,05/11/2023,19:58:55
40,1083,1059,13.31,23/12/2023,10:06:47
41,1037,1092,59.4,10/11/2023,03:24:53
42,1090,1093,71.88,20/06/2023,07:28:54
43,1068,1048,68.58,16/05/2023,03:53:36
44,1045,1049,32.29,10/06/2023,20:03:01
45,1024,1025,84.86,05/04/2023,11:35:25
46,1079,1056,69.3,01/03/2023,17:33:44
47,1046,1023,41.94,16/04/2023,14:21:44
48,1065,1057,38.49,23/04/2023,19:03:22
49,1010,1034,67.28,21/03/2023,18:43:29
50,1059,1041,30.79,13/07/2023,08:28:08
51,1080,1021,76.32,12/10/2023,04:45:59
52,1098,1072,95.94,29/07/2023,18:46:08
53,1003,1095,43.25,29/07/2023,20:38:47
54,1085,1053,45.85,08/09/2023,06:09:23
55,1096,1028,47.29,07/12/2023,07:23:33
56,1087,1051,42.05,04/01/2024,08:19:21
57,1019,1001,67.95,20/10/2023,23:56:39
58,1001,1026,84.84,31/12/2023,15:57:02
59,1024,1028,11.56,14/09/2023,11:46:45
60,1051,1081,46.26,10/12/2023,17:48:30
61,1071,1016,48.78,19/10/2023,08:40:19
62,1039,1077,13.49,03/06/2023,19:13:27
63,1020,1063,97.57,18/10/2023,16:58:06
64,1036,1021,13.17,14/02/2024,01:47:30
65,1031,1049,27.61,04/01/2024,03:26:51
66,1003,1094,20.38,13/10/2023,21:14:12
67,1073,1019,94.3,03/06/2023,12:53:13
68,1099,1020,29.21,14/09/2023,22:20:39
69,1048,1049,70.5,29/12/2023,12:08:34
70,1082,1056,44.94,05/10/2023,10:57:18
71,1037,1079,87.25,03/12/2023,23:34:39
72,1092,1006,40.95,14/07/2023,03:52:57
73,1083,1063,51.62,30/03/2023,15:41:37
74,1039,1058,45.05,07/10/2023,23:22:16
75,1007,1057,11.85,18/09/2023,01:07:44
76,1023,1048,28.88,09/12/2023,02:34:35
77,1054,1029,95.35,10/01/2024,23:00:00
78,1027,1081,68.49,09/01/2024,22:55:58
79,1069,1081,70.44,13/09/2023,13:17:19
80,1076,1031,79.27,16/12/2023,21:58:30
81,1090,1086,47.23,26/06/2023,15:39:37
82,1035,1081,15.12,01/09/2023,23:55:54
83,1067,1056,15.85,04/02/2024,23:33:38
84,1065,1072,41.25,15/04/2023,14:33:44
85,1012,1093,86.14,16/03/2023,07:57:49
86,1093,1007,52.94,25/05/2023,08:55:45
87,1022,1064,16.65,11/10/2023,10:51:49
88,1080,1044,38.53,24/08/2023,10:21:32
89,1046,1078,97.85,30/04/2023,12:34:30
90,1049,1060,16.63,31/05/2023,03:45:47
91,1052,1058,22.38,11/11/2023,16:41:19
92,1067,1084,22.57,17/01/2024,11:49:03
93,1082,1081,29.45,14/06/2023,05:23:16
94,1037,1100,14.73,08/05/2023,22:35:13
95,1030,1018,91.32,04/11/2023,12:45:10
96,1012,1076,76.64,06/02/2024,02:31:07
97,1071,1010,34.37,20/01/2024,22:02:56
98,1062,1033,10.37,08/01/2024,18:01:37
99,1021,1053,80.91,01/09/2023,10:58:00
100,1007,1078,83.19,22/09/2023,17:53:08
101,1047,1005,49.49,22/12/2023,00:23:20
102,1004,1058,48.88,12/01/2024,00:45:00
103,1075,1061,40.32,27/02/2023,19:49:24
104,1049,1021,99.79,24/03/2023,08:07:44
105,1081,1074,74.44,10/02/2024,06:26:57
106,1002,1067,94.92,26/11/2023,17:51:16
107,1042,1038,75.47,21/06/2023,23:22:24
108,1048,1025,79.18,16/08/2023,07:17:01
109,1054,1078,60.01,14/04/2023,02:03:23
110,1071,1058,25.88,14/07/2023,11:21:44
111,1039,1089,80.33,17/11/2023,19:44:05
112,1053,1062,94.39,22/04/2023,16:01:28
113,1013,1047,17.9,30/03/2023,03:13:36
114,1095,1026,45.86,29/10/2023,09:34:47
115,1036,1054,12,31/10/2023,05:19:25
116,1065,1027,46.19,25/09/2023,20:18:25
117,1074,1071,92.23,09/01/2024,21:45:51
118,1068,1076,33.04,23/06/2023,20:14:48
119,1010,1044,68.68,11/05/2023,13:10:25
120,1092,1052,18,09/12/2023,22:59:06
121,1083,1089,11.36,17/08/2023,11:26:35
122,1059,1020,93.3,24/05/2023,02:08:00
123,1031,1021,76.62,22/07/2023,02:59:25
124,1034,1067,57.03,29/08/2023,15:23:38
125,1059,1067,63.95,25/11/2023,02:51:11
126,1028,1051,73.46,17/01/2024,19:17:30
127,1098,1021,52.36,21/07/2023,09:54:28
128,1049,1040,48.99,27/08/2023,14:08:00
129,1072,1077,38.79,24/05/2023,01:05:30
130,1049,1094,88.82,30/10/2023,15:30:02
131,1093,1011,49.14,25/08/2023,06:34:52
132,1096,1076,76.62,24/12/2023,19:59:31
133,1063,1047,82.13,30/04/2023,23:45:21
134,1041,1012,73.28,08/01/2024,09:25:42
135,1043,1095,39.74,18/10/2023,23:07:26
136,1059,1079,63.6,09/03/2023,02:43:58
137,1056,1041,44.41,30/10/2023,09:06:01
138,1036,1048,26.69,29/05/2023,11:27:51
139,1077,1081,91.85,24/09/2023,19:34:26
140,1035,1094,74.75,25/02/2023,04:47:01
141,1024,1001,88.22,14/06/2023,02:19:38
142,1012,1049,72.23,28/07/2023,03:46:22
143,1022,1003,48.52,25/11/2023,00:46:18
144,1016,1034,73.6,01/03/2023,15:55:02
145,1092,1069,61.65,22/02/2023,08:34:41
146,1040,1037,61.13,18/06/2023,14:51:06
147,1034,1049,11.7,31/08/2023,05:09:30
148,1049,1067,63.01,12/04/2023,14:37:09
149,1030,1061,67.01,25/07/2023,14:44:44
150,1057,1077,12.41,14/01/2024,21:04:00
151,1080,1066,87.24,16/05/2023,12:33:31
152,1040,1018,41.87,13/08/2023,16:37:14
153,1043,1070,45.69,26/10/2023,22:18:58
154,1009,1068,21.74,24/05/2023,22:37:31
155,1079,1043,46.63,04/01/2024,21:08:19
156,1081,1053,35.76,16/11/2023,01:26:43
157,1075,1040,70.82,09/06/2023,15:07:56
158,1034,1017,91.13,17/07/2023,19:56:29
159,1052,1017,54.47,10/10/2023,22:23:51
160,1052,1062,93.71,28/05/2023,01:27:07
161,1063,1011,56.52,17/05/2023,23:55:42
162,1060,1095,50.99,12/12/2023,15:17:06
163,1026,1029,10.13,19/10/2023,15:17:58
164,1097,1086,62.76,04/06/2023,21:15:10
165,1063,1049,26.79,26/07/2023,08:03:42
166,1026,1009,81.72,12/02/2024,20:52:05
167,1046,1015,34.44,17/08/2023,06:04:09
168,1043,1022,10.91,31/10/2023,01:19:53
169,1043,1012,18.21,30/03/2023,19:17:09
170,1010,1096,68.89,22/08/2023,20:33:33
171,1038,1036,37.28,13/01/2024,04:49:35
172,1064,1049,54.08,01/10/2023,18:22:35
173,1065,1045,71.93,11/12/2023,23:40:08
174,1039,1077,23.3,17/10/2023,04:23:58
175,1045,1047,34.83,23/09/2023,01:52:10
176,1005,1032,52.61,30/06/2023,07:58:26
177,1025,1086,86.66,30/08/2023,05:48:09
178,1040,1002,66.87,30/09/2023,19:11:43
179,1026,1050,74.05,03/07/2023,23:31:09
180,1017,1022,87.46,03/10/2023,08:03:39
181,1032,1049,41.65,08/05/2023,07:04:17
182,1053,1059,64.43,17/07/2023,01:34:52
183,1068,1022,76.33,15/07/2023,15:16:07
184,1074,1029,61.09,16/09/2023,07:25:30
185,1056,1063,89.02,24/10/2023,20:54:10
186,1024,1016,83.17,05/08/2023,17:14:39
187,1036,1027,57.76,02/04/2023,16:07:12
188,1099,1024,13.44,29/03/2023,04:56:31
189,1087,1091,71.21,19/02/2023,19:19:42
190,1091,1087,31.79,05/05/2023,20:48:48
191,1039,1009,59.22,06/11/2023,09:23:39
192,1026,1069,71.69,28/01/2024,01:32:18
193,1032,1088,61.44,08/06/2023,15:49:02
194,1008,1003,12.04,15/08/2023,15:57:41
195,1044,1099,50.71,17/11/2023,14:47:45
196,1095,1055,30.13,04/04/2023,01:41:04
197,1048,1009,97.89,20/03/2023,02:46:03
198,1093,1037,78.17,07/05/2023,04:07:18
199,1099,1051,41.43,25/09/2023,07:27:16
200,1085,1078,37.05,21/06/2023,07:59:12
201,1005,1043,34.49,05/04/2023,09:45:21
202,1038,1045,87.66,27/04/2023,14:47:09
203,1085,1099,10.57,06/02/2024,11:41:22
204,1017,1020,84.33,03/12/2023,17:03:20
205,1066,1062,44.75,10/04/2023,03:06:45
206,1003,1090,20.95,26/10/2023,17:20:05
207,1015,1066,18.82,17/04/2023,18:02:14
208,1046,1078,45.63,05/05/2023,14:32:03
209,1041,1075,39.25,08/10/2023,08:58:31
210,1074,1053,64.52,07/09/2023,15:56:57
211,1052,1008,63.22,05/02/2024,02:56:28
212,1038,1034,66.25,04/06/2023,11:42:28
213,1096,1084,68.31,22/05/2023,00:04:00
214,1051,1042,76.54,15/10/2023,11:48:16
215,1081,1040,69.17,28/04/2023,13:49:27
216,1097,1066,74.87,01/11/2023,03:21:16
217,1085,1008,68.21,05/06/2023,13:51:51
218,1022,1052,73.54,06/01/2024,06:16:30
219,1062,1088,14.34,01/10/2023,03:26:10
220,1003,1048,32.02,13/04/2023,00:40:14
221,1047,1011,92.34,24/02/2023,16:16:02
222,1022,1031,78.38,11/03/2023,01:04:48
223,1018,1009,90.66,09/07/2023,07:26:00
224,1040,1019,86.1,23/03/2023,01:42:08
225,1084,1032,53.66,22/02/2023,13:59:54
226,1073,1086,23.67,04/01/2024,00:16:54
227,1050,1040,56.5,24/11/2023,18:07:44
228,1036,1003,99.06,29/12/2023,00:25:09
229,1014,1055,75.76,10/07/2023,22:12:05
230,1084,1056,17.41,17/01/2024,16:01:01
231,1041,1036,68.09,05/09/2023,18:12:55
232,1099,1042,39.9,01/10/2023,05:11:56
233,1037,1011,22.14,10/01/2024,03:34:27
234,1034,1049,75.64,22/10/2023,12:55:47
235,1074,1006,97.07,06/03/2023,16:25:05
236,1062,1049,85.11,27/11/2023,19:19:04
237,1031,1041,71.65,18/12/2023,13:01:32
238,1045,1055,72.62,21/11/2023,18:41:48
239,1035,1029,86.36,12/12/2023,07:23:07
240,1013,1086,68.22,13/06/2023,10:17:49
241,1099,1030,64.1,19/01/2024,08:06:19
242,1012,1052,73.19,15/03/2023,06:53:41
243,1082,1030,29.49,03/07/2023,22:57:11
244,1084,1062,92.1,05/08/2023,09:33:32
245,1089,1087,83.96,19/08/2023,12:14:07
246,1078,1011,94.69,14/08/2023,06:59:53
247,1052,1020,57.21,09/10/2023,08:54:28
248,1024,1009,86.92,18/05/2023,22:24:33
249,1046,1070,27.28,15/05/2023,05:46:15
250,1021,1091,38.66,31/01/2024,03:54:07
251,1002,1091,16.89,27/01/2024,03:52:34
252,1007,1071,27.93,16/11/2023,20:27:40
253,1067,1026,13.23,02/12/2023,08:00:11
254,1009,1036,75.2,06/04/2023,19:48:59
255,1016,1010,79.03,22/01/2024,15:58:02
256,1013,1062,15.41,31/05/2023,13:22:45
257,1059,1072,35.86,25/05/2023,09:16:06
258,1061,1022,17.04,23/09/2023,11:37:43
259,1078,1019,13.16,17/02/2023,10:11:37
260,1084,1038,81.85,15/02/2023,16:26:05
261,1037,1013,98.75,23/07/2023,00:13:35
262,1092,1099,43.3,18/11/2023,15:12:53
263,1077,1047,62.88,26/04/2023,01:00:50
264,1066,1001,80.54,20/05/2023,01:36:57
265,1045,1025,66.21,20/10/2023,18:55:38
266,1079,1019,48.57,18/04/2023,22:57:50
267,1080,1056,12.03,23/07/2023,20:46:34
268,1064,1045,69.82,14/07/2023,18:34:19
269,1002,1015,84.5,16/10/2023,17:12:57
270,1050,1091,92.47,10/04/2023,01:03:27
271,1062,1016,50.28,02/06/2023,16:18:12
272,1035,1065,40.42,28/06/2023,06:23:14
273,1034,1031,78.57,24/03/2023,04:10:57
274,1081,1071,42,10/04/2023,22:51:24
275,1080,1045,61.85,26/01/2024,03:27:19
276,1031,1040,50.76,26/03/2023,03:55:55
277,1003,1019,76.19,14/01/2024,20:51:54
278,1081,1019,95.01,22/09/2023,12:27:24
279,1086,1032,15.05,03/07/2023,15:58:03
280,1024,1094,20.5,10/08/2023,20:22:32
281,1026,1018,75.98,12/12/2023,05:33:12
282,1015,1095,14.21,22/03/2023,19:45:59
283,1015,1021,39.45,01/03/2023,00:10:26
284,1039,1034,95.51,15/05/2023,07:19:43
285,1039,1042,83.65,10/06/2023,11:52:42
286,1042,1058,71.15,06/10/2023,19:02:45
287,1002,1058,82.74,18/10/2023,23:44:56
288,1067,1036,84.65,11/05/2023,00:59:02
289,1012,1032,95.44,06/07/2023,22:01:00
290,1092,1082,95.24,13/09/2023,17:45:54
291,1001,1053,42.2,19/11/2023,20:01:25
292,1038,1072,79.47,22/12/2023,15:07:47
293,1073,1059,67.28,28/12/2023,01:34:00
294,1093,1057,56.1,05/03/2023,12:50:16
295,1019,1059,49.32,11/10/2023,10:30:25
296,1055,1009,98.12,17/04/2023,20:58:10
297,1034,1024,66.72,14/05/2023,05:14:44
298,1025,1096,39.46,20/11/2023,16:51:08
299,1041,1005,42.69,24/09/2023,05:29:23
300,1034,1008,94.45,31/01/2024,13:09:49
301,1071,1033,87.74,29/10/2023,16:39:05
302,1025,1038,12.15,11/04/2023,22:46:02
303,1033,1081,74.1,22/08/2023,03:44:03
